14606003,1186,1,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14067274,1132,8,10,0,356,353,770,32,78,124,290,0,0,175,0,0,46,92,0,10,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15897183,1170,2,490,156,131,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12968519,1216,1,0,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7749491,1190,5,0,12,238,0,136,165,175,165,113,236,166,76,85,67,66,76,128,103,111,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13562958,1214,1,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15383872,1157,3,711,0,0,0,0,0,0,0,0,0,0,0,0,0,1019,604,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15383864,1209,2,660,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747645,1200,4,15658,1200,1100,890,1220,250,0,0,12417,13467,30,70,740,0,766,0,160,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18407840,1185,1,1006,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18407843,1198,2,0,1270,0,14547,15287,12255,13516,8733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4989601,1190,3,1300,930,1136,1110,1045,1140,1205,816,910,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18011801,1184,1,139,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13248806,1185,3,0,0,0,440,650,510,15093,14435,19074,14850,16290,15502,14654,17500,14816,15661,15607,12736,11879,12852,16621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13694705,1189,3,303,303,289,289,85,1090,1240,771,0,0,0,0,0,0,0,625,1386,1335,1336,464,770,1598,691,647,1334,1413,,,,,,,,,,,,,,,,,,,,,,,,
1361134,1200,2,716,1001,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1361160,1215,1,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15080064,1272,10,750,1060,580,1010,1190,970,1130,800,860,550,990,421,990,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13787064,1174,19,230,260,9554,9736,9927,1243,1100,1291,1370,0,1175,1076,1003,1540,1091,1275,1750,1100,1080,1154,1030,903,1050,280,280,330,290,260,250,220,270,270,210,210,240,250,280,320,270,260,230,210,280,300,220,11184,0,0,0,0
14932227,1160,3,0,0,56,21,75,46,60,36,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18118671,1185,1,5972,7596,7837,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
